judge,paradigm
Dawn,"Paradigm Updated 9/27/25
TL;DR for LD, PF, and CX - debate is about communicating arguments, not manipulating them. If
you both choose to manipulate arguments rather than communicating them I am not going to
choose the better manipulator. I am going to choose whoever makes the more vaguely coherent
argument that seems like maybe it could be a comparative reason to prefer one world over the
other.
TL;DR for WSD - Find the essence of your argument, find the implications of your argument, and
tell me why it's comparatively better than the opposing team's.
I have been judging debate for 30 years, and I find it consistently disturbing that our
community rewards debaters who try to manipulate a win rather than earning one. If you
are attempting to beat your opponents through flow tricks they are unfamiliar with, speed
beyond their threshold, or theory and kritiks that hold no meaningful value to you other
than a win, I have serious doubts about your respect for the other participants in the
debate space. The debate space must be consensual. Debaters enter into the space with
the assumption that they have a 50-50 chance of winning, and that they will have equal
space to present their arguments and have them legitimately considered by their judges.
Judges enter into the space with the assumption that the debaters will attempt to win their
ballots rather than exclude them from the round. Speaking faster than an opposing
debater or judge is comfortable with is nonconsensual behavior. That's problematic.
Making arguments that do not include a warrant, are presented as absolutes that cannot
be opposed, and/or cannot be compared to opposing arguments that have equal ground
is a strange approach to an activity where judges attempt to make a meaningful choice
between two competing claims. Using your knowledge of current debate fads to intimidate
your opponents and police their rhetoric and strategy by telling them how they can and
cannot respond to you is a) nonconsensual, b) bullying, and c) pretty lame. I understand
that organizing arguments into shells can make it easier to follow along. However, using
shells as a tool of silencing the other team and not giving them equal space to present
their opinion is... c'mon, do I have to say this again? It's nonconsensual. Judges, coaches,
debaters - I implore all of you to stop normalizing teenagers acting in nonconsensual ways.
It makes the debate space combative and exclusionary, it promotes patriarchal thinking
that is never a good idea, and it just makes for blippy, messy, unpleasant debate rounds.
Do better. If you come at me with your arguments about tech>truth being more
""objective"" and leading to less ""intervention"" I will happily laugh in your face for thirty
minutes. There is no such thing as an objective way to choose a winner. There is no such
thing as a debate round where a judge does not, at some level, make personal choices
about what rhetoric and strategy they valued. The entire glorification of the flow as some
'objective' sacred text is deeply rooted in patriarchal assumptions and preferences, and I
like to think that as critical thinkers we can go beyond that as a community. If you want to
play a game because winning makes you feel less insecure, go play online poker. If you
want to challenge yourself, compare yourself against other worthy opponents, learn
something new every round, become a better human, and change the world - stay in
speech and debate. Thank you for attending my lecture, and read on for additional
paradigm information.
ALL DEBATE: Welcome to my ten second tutorial, 'Answering Arguments Wins Debates.'
Notice I didn't say 'repeating arguments wins debates,' because it doesn't. You have to
listen to your opponent's argument, then craft a response that shows why your side of the
resolution is comparatively better regarding this issue. Telling me their argument isn't well-
warranted isn't enough. You have to provide me with a warrant for why your side of the
debate wins that point.
**PLEASE DO NOT SPEAK IMPOSSIBLY FAST. If you’re talking like you’ve had too many Dr.
Peppers, we’re fine, but if you blur words together and start double breathing, I can’t
understand you. Not only is that a consent issue, it's a disability issue. A decade ago I
experienced a bipolar break, and since then my brain doesn't work as fast, and my ear-to-
brain interaction isn't what it used to be. That doesn't mean I am stupid. It just means that
I need to hear things at a normal, conversational speed. I also feel you should check with
your opponent and judges before EVERY round to discuss what their threshold for speed is
to make sure you are all on the same page and that the debate space is inclusive. That’s
key to keeping people in this activity. Please don’t chase out people who can only compete
sometimes. Be better.
GENERAL ARGUMENTS: I will consider anything that isn't offensive, but you have to give
me a reasonable explanation for why it applies in this debate. If you're trying to make an
argument based on debate jargon explain it to me. Just because you think you sound cool
saying something doesn't mean I am going to vote on it. I do not vote off tricks on the flow.
Not every dropped argument actually matters. On the flipside, don't ignore arguments.
LISTEN to your opponent. Respond to them.
THEORY: I am open to any theory arguments critiquing your opponent’s rhetoric, behavior,
or advocacy. I am NOT open to resolutional critiques, because in that instance you’re
basically critiquing the wording committee. We have to have an agreed upon resolution to
have a fair debate. It may not be your favorite resolution. It may not be my favorite
resolution, either. However, it’s the resolution we’ve all walked into the round to engage
with, so do me a solid and actually engage with it. I previously bought disclosure theory at
national tournaments, but in updating my paradigm today I feel it's incompatible with an
inclusive, consensual debate space. If you believe strongly that debaters should disclose,
you should come to the room (physical or online) immediately after posting to make a
good faith attempt to discuss arguments with your opponent. Breezing on in at the start
time and reading theory tells me you care more about an easy win than fair debate prep.
WEIGHING: I don’t need you to use the words probability, timeframe, reversibility, etc. So
long as you compare your argument with your opponent’s and tell me why your argument
makes your world comparatively better than theirs, I’m good.
BEHAVIOR: Be respectful of me and of your opponent. If I am cringing by how rude you are
in CX, you won't be getting high speaks. I don't vote for bullies. I vote for debaters. If you
have questions about how to get better after the round, you can ask me. If you want to re-
debate the round, I will not be tolerant. You had a chance to communicate to me, and if
you lost, you lost. I am not going to change my mind, and arguing with me will just mean I
will be in a bad mood if I ever have to judge you again. I judge often enough you want to
be the person I smile when I see.
EVENT SPECIFIC PARADIGMS**
WORLD SCHOOLS DEBATE: Firstly, although I have judged this event for five years or so, I
am not necessarily aware of every norm in the activity. If you feel your opponent is using
debate norms from other events and they aren’t in line with world norms, tell me why
their position should be disregarded. Secondly, I like to see a lot of worlds comparison in
either the 3rd or Final speech. What happens if we pass the motion? What happens if we
fail it? What are the implications of that action across broader populations and through
time? Especially with impromptu topics, I think it’s important to figure out what the effects
are of voting either way. I’m not going to want to make a decision about a subset of the
motion taken in one snapshot in time. I want to look at precedents the motion might start,
or how the motion may change perceptions across the globe. Think BIG. Thirdly, don’t ask
incredibly long POI’s just to waste opponent time. Your POI’s should be strategic in terms
of their content.
PUBLIC FORUM: Firstly, do not make arguments in cross. Ask questions of your opponent.
Weaken their link chains, make them explain warrants and evidence. Please let your
opponent have a reasonable amount of time to answer, and only interrupt if they are
being purposefully obtuse. Take turns asking. If you have a follow-up, it should be able to
be answered with one sentence, or it is a second question. Secondly, I do not believe that
policy and LD norms automatically apply in PF rounds. If you would like to access another
debate event’s norms, you need to give me a reasonable explanation as to why your
interpretation is best. Thirdly, I like to see incentive analysis done that helps me to see why
certain policies might be preferred over others. This can be from a government
perspective, a societal perspective, or even individual perspectives, depending on the
argument. Fourthly, you have to give me more than the argument name to count as an
extension, and arguments should be extended in every speech if they end up in Final
Focus. Give me the evidence, the warrant, the way that argument outweighs the
opponent’s argument – I’m flexible, but give me something to extend other than a word.
Fifthly, be realistic about what you can do in a four minute constructive. You will not be
able to go into massive depth with any of your arguments. Low probability, high impact
arguments require a pretty strong link chain, and that’s probably not something you have
time for in PF. Stick with what you can defend. Then defend it. Sixthly, be smart about
evidence sharing. Have your evidence immediately accessible and shareable. Better yet,
send the cards either right before or right after the speech so everyone can see them. I do
not want to have to police both teams while searching and copying and pasting and
refreshing emails. I also really, really do not want to see teams using evidence challenge as
a way to get more time to mentally prep. PF debate should not take a lifetime. It should
take less than an hour.
LD: I’m not judging much LD anymore because the activity is becoming less enjoyable for
me. I’m not a tech happy judge, and I won’t vote on flow tricks. I will vote on comparative
benefit in the overall aff and neg position. I would prefer you take prep time before the NC
so that you are responsive to your opponent’s rhetoric and arguments. If your entire NC is
cards that you don’t bother applying directly to opponent arguments, I’m probably not
going to vote for you. Clash is key, and clash requires being in the moment of this
particular debate with these particular people. Every debate should be different. If you’re
making them all the same, you’re probably going to get the L from me every time, too.
POLICY: I judge policy only when tabrooms really, really need me to, or for UIL Texas
debate where speed is not the norm. I recognize that on most circuits, speed is the norm,
and I simply can’t keep up. If tab needs me to take one for the team, though, please
respect my speed issues above. Also, I don’t understand all of the intricacies of policy
debate norms, so if you want me to judge off something more obscure, explain it to me.
My favorite thing in Policy to hear about is the solvency debate, so points there if you dig in
deep.
To finish it off, this activity should be something all of us enjoy. If you’re miserable during
the round, we probably will be, too. Find a way to make each debate interesting, unique,
challenging. Stretch your world, and make your opponents and judges think in new ways.
Being in debate should inspire you. If it doesn’t, there’s probably a better activity for you,
and I hope you can find that joy elsewhere. We’re all spending a day or weekend together,
so let’s all try to make it pleasant.
Yijun Pan Unionville 4 rounds 
Im a Lay judge - no spreading and no prog debates please - Be sure to have off time road
maps, signpost, and comparatively weigh. I try my best to flow the round but don't count
on that. Also, be sure to bring up any arguments made in cross-fire. Speak very clearly and
be respectful. If you are any type of ___ist, I will cut speaks."
Jasmine,"Competed in PF and Public Speaking in HS
jasminejw.park@mail.utoronto.ca
Please time yourselves!
Minimal spreading is fine, but if I can't understand you, it won't end up on my flow
Clear taglines are helpful
Tech > Truth
Weigh in FF with voters!
I don't flow crossfire; mention it in rebuttal/summary/FF if you want it to go on my flow
If it takes you more than 5 minutes to find a card, you don't have it
If you're asking for every single piece of evidence, and I don't see why you need it, it won't
benefit you
Be respectful during the debate"
Manikanta,"I would be evaluating arguments based on logical reasoning more than on factual clarity.
Ideas would be judged on how well they are constructed, and the depth of thought
involved in forming them. Rebuttals that directly address the core idea of the argument
that's being debated are given more weight than peripheral responses.
Some things to note:
Make sure you introduce yourself.
1. I will not write anything after the time is up.
2. I will not evaluate new arguments after first summary. Will only evaluate arguments that have
been extended.
3. Dropped arguments will be evaluated fully as long as the weighing makes sense.
4. Speak clearly and make sure I can understand you.
PS: I did British Parliamentary before and I evaluate as a'tech' judge, but treat me as a flay.
Do not speak too fast."
Pearl,"Parent Judge, speak slow and clear, be respectful and have fun!"
Davida,"Hey!
The most important thing to know if you're going to be debating in my room is how much I
value fair and thorough engagements! This looks like making concessions where necessary
(when the cases have been properly analyzed and are logical) and engaging in fair and
charitable comparisons.
Next up, don't be rude or disrespectful! Avoid racist and discriminatory slurs. I am more
than willing to penalize debaters on this basis.
Thirdly, I am fully cognizant of the fact that speakers have a lot of material to cover in such
a small time, but please make sure you don't excessively speed through those arguments!
DO NOT SPREAD. If I can't hear it in your speech, I will not flow. Please speak clearly so
your opponents and I understand you.
Finally, always be conscious of your burdens in the debate and do justice to them. Do not
merely assert, justify those claims.
Good luck!"
Christopher,"47 yr old father of two kids who do debate. I don’t know much so go slow please.
My main source of current events is watching the news every sunday so please explain
everything to me."
Paul,"Contact:
Please add me to the email chain before the round begins at
coachpaulqueija@gmail.com. You are also welcome to use this email for any questions,
comments, or concerns regarding the round or my decision.
Background & Approach:
I am 21 years old and not far removed from where you are sitting. I competed for eight
years (5th-12th grade) and qualified for Nationals multiple times. Now, I have been a coach
for four years and have trained four National champions. Because of this, I judge with the
same energy and technical focus I wanted when I was a competitor. I do not have rigid
habits that come with decades of judging. I am here to let you dictate the round.
Neutrality & Philosophy:
I offer a guarantee that is rare in debate: I am completely politically and ideologically
neutral. Consequently, you never have to worry about ""matching"" my beliefs or fearing
that I am biased against your worldview. Whether your argument is conservative, liberal,
or radical, I am a blank slate. As long as you are respectful, you are safe to explore any
perspective. I care only about how well you argue your position on the flow.
Style, Speed, & Substance:
Treat the debate round like a professional courtroom. I love passion, but I expect you to
treat your opponents with dignity. Aggression is fine, but toxicity is not. Regarding delivery,
I have ""fast ears"" and am comfortable with speed (spreading) and technical jargon.
However, clarity is non-negotiable. If I can't hear it, I can't flow it. Finally, make your
arguments real. I am a technical judge, but I am not a robot. I am most persuaded by
arguments with real-world impacts. Tell me why your argument matters to real people, not
just why it works in theory. I am strict with time. Once the time runs out, so does my flow.
Feedback:
My goal is to help you get better. I view the ballot as a tool for learning, not just a
scoreboard. If time permits and you want it, I am happy to give live feedback immediately
after the round. I would rather give you tips you can use for your very next round than
make you wait for the written results."
Sanjay,"I’m a first time parent judge.
Please speak slowly.
I prefer arguments with evidence."
Vimala,"I’m a parent judge with some experience judging but do not know the technical nuances of
debating.
Please have clear, well-substantiated, logical arguments. I weigh arguments supported by
evidence.
Be respectful and have fun.
please add me on the email chain: vimrang@yahoo.com, send all evidence and send
rhetoric as well as cards if you paraphrase
Zachary Masaomi
Hire 
Reshovsky
Zachary Reshovsky Paradigm
Last changed 12/13 10:32P PST
About me and Overview: I have a background with 4 years as a high school debater
(Lincoln Douglas) and 3 years as a collegiate debater (1 year NPDA parliamentary and 2
years NDT-CEDA Policy) at the University of Washington - Seattle. At UW, I majored in
International Relations where I graduated Top 3% of class and was a Boren and Foreign
Language and Area Scholar (Chinese language) and nominee for the Rhodes and Marshall
Scholarship. My expertise is in China studies, US-China relations and Great Power
Relations.
As an LD debater, I was (and still am) a believer in traditional LD rather than progressive
LD arguments. I believe that the introduction of policy arguments to LD (in particular on
resolutions that clearly resolve around moral/philosophical issues) are inappropriate. As
such, I strongly prefer cases centered around a strong Value and Value/Criterion, an
explanation of why that V/VC is moral, and how it links to the topic. As well, please explain
to me in rebuttals why you are winning using specific articulations and spins on
your/opponent's evidence. High school debaters in particular struggle with articulating
why they are winning in final rebuttals, which oftentimes invites frustrating judge
interventions. I will consider consider policy arguments in LD (in particular on topics that
directly involve a policy proposal - e.g. ""the US should implement a federal jobs guarantee""
topic). However, these type of arguments will get substantial less weight than traditional
LD topics. I prefer depth over breath arguments - I've noticed a lot of debaters will extend
all of their offense without telling me which argument is the strongest, why I should vote
on it, and how it beats out your opponents arguments. This forces me to intervene and
attempt to weigh which extended arguments are strongest. In an ideal world, you'll
provide me with a single argument where I can feel comfortable voting. Regarding
procedurals, I have an extremely high threshold for Theory. I believe that Theory is vastly
overused in LD and distracts from the substantive education that discussing the topic
brings. Your opponent needs to be doing something truly abusive for me to consider it.
Likewise, I'm less likely to vote on someone who runs Topicality. Like theory, I feel T is
overused. It is possible to win my ballot on T if your opponent is wildly off topic, but the
AFF's case needs to be really untypical (e.g. a performance AFF that has nothing to do with
the Arctic 2025-26). In LD, I rarely see cases that are off-topic, but if you feel your opponent
is feel free to run T.
As well, try to be creative! I come from a family of artists and always have looked at debate
as equal parts rhetorical art and logic. Some of the best rebuttals and cases I have seen
have had really creative spins on them and really sounded entertaining and compelling. I
would encourage debaters to study examples of speeches in which the speaker has
articulated not only a strong argument, but also delivered it in a way that delivered with
rhythm, well apportioned arguments, was organized cleanly, and had substance that was
comparable to strong prose in a novel rather than a rote response to a prompt.
Regarding my views on specific types of arguments:
- Primarily policy/on-case judge, but certainly willing to consider Kritikal and off-case
arguments. DisAd/Ad impacts need to be spelled out clearly and weighed thoroughly in
later rounds or else risk judge intervention. Find that debaters oftentimes do not get
beyond surface-level tit-for-tat argumentation in later speeches in debate. No attempts
made at crystallization of arguments, nor any attempt made to weigh why one impact
(magnitude, timeframe, probability) or combination of impacts should OW other impacts
and, equally importantly, why they should OW. Magnitude definitely easiest impact to
evaluate, but feel free to do other impacts as well.
- For CPs, better to run 1 CP than many. Leaves more room for fleshing out that argument.
I'm ok with Consult CPs.
- For Kritiks, I'm familiar with general arsenal of Kritiks, but please do not assume that I
know the ideology/philosophy by heart. Explain it as if I am a 200-level undergrad student.
Second, please articular impacts as you could an advantage or disadvantage. In particular,
the link needs to be strong, specific, and very clearly linked to Case. Unmoored or vague
links tend to be the death-knell of kritiks - debaters oftentimes just pull out the first link
that they find and then proceed to force it to link to the case the AFF is reading. Make sure
you make clear why the AFF is uniquely causing some ideologically-grounded harm or is
buying into some existing detrimental framework.
Likewise, the impact of Kritiks tends to be highly nebulous (e.g. the plan causes more
capitalism and capitalism is bad). Specific and clearly defined impacts are always good -
they are particularly helpful for K debates.
Think of K Alternatives as very similar to a kritikal CounterPlan text - ideologically-driven
condemnations that (e.g. ""The AFF is evil in some undefined but scary sounding way"")
never work out well much like CounterPlans like (e.g. ""Do the Plan but in a better way""
never work). Would always recommend to debaters that they discuss why the Alternative
solves or remedies some problem to a greater degree than the Plan.
- For Identity arguments, please lay out specifically how and why the AFF/NEG is engaging
with a structure of power or dominance in a specific way that is problematic. That the
AFF/NEG simply exists/reifies an existing power structure will get some traction yes.
However, given that in order to make positive change in any environment one has to
engage with unequitable power structures, it is important to describe precisely how the
offending party has 1. in concrete terms, made the situation worse/more inequitable & 2.
how this OW whatever benefits the offending party is accruing. Saying the offending party
is simply working within existing inequities alone will not be sufficient to win usually, even
when those inequities are a valid cause for concern. Again, specificity is important here -
how many and in what ways is the offending party hurting disadvantaged communities.
- For Performance-based arguments on the NEG - I have a very high threshold for clearly
non-Topical Perf arguments. Many teams seem to be running clearly non-topical
arguments on AFF that do not in anyway link to the resolution and then proceed to claim
some special framework that neatly fits/justifies their Performance into the resolution -
this does not mean that they will get my ballot if the Neg runs Topicality in the 1NC.
- Likewise, for Performance-based arguments on the NEG - NEG needs to clearly win 1.
why the Performance should be weighed in opposition to the AFF and within the AFF's FW.
OR 2. Why whichever NEG FW that is put forth is clearly preferable. Again, I have a high
threshold for clearly non-resolution specific neg performance arguments. So if the Neg
wishes to win in this situation it needs to VERY CLEARLY win why a performative FW is the
criterion on which the debate should be judged.
- When I truly can't decide because the cases even out to a wash and/or cases are
impossibly divergent from each other and thus impossible for me to weigh, I will evaluate
the debate on the overall features of each participant, specifically how they did overall in
quality of arguments, rhetoric/oration/persuasion, difficult of case run. These type of
debates usually require a high degree of judge intervention, so please give me a clear
place to vote.
Speaking point scale:
- 29.9-30-near 100% perfect (flawless execution, strong elocution, high degree of erudition
in arguments)
- 29.5-29.8-very strong debater, octo/elims performance (highly coherent arguments, well
extended, effective execution and thoughtful usage of time, high degree of consideration
to opponents)
- 28.8-29.4-average debater, perhaps 4-2/3-3 record level performance (better than
average, but includes some dropped arguments, lack of coherency throughout debate but
ultimately enough arguments are extended to win and/or come close in debate)
- 27.8-28.7 - un-average debater - unable to make coherent arguments, lots of drops, lack
of tactical acumen or strategic skill in debate proper. Able to read first constructive, but
unable to recognize with arguments are to be prioritized in final speeches. Relies too much
on ASPEC/procedurals in place of on case/Kritikal arguments.
below-27.8 - very un-average debater - does not know how to debate and cannot
coordinate correctly with partner. Lacking in basic etiquette towards others.
- Notes to debaters: Evaluation mostly dependent on quality of arguments - however,
polish also comes into play. Clarity/clear organization and efficiency in rebuttals will
increase your speaker points dramatically. Well run obscure and non-Western
philosophies (Eg Baudrilliard, Taoism, Shintoism) will also garner extra speaker points on
basis that they make judging more interesting and less monotonous/repetitive. Same thing
goes for contentions that discuss innovative/non-talked about issues
FOR LD: I debated LD In high school and am comfortable with speed in it. I strongly prefer
value/criterion based debate and will not consider policy arguments in LD. From my
perspective it is important to win the VC debate, but not essential. I view the VC as
something akin to goal posts in soccer (you can still score/gain offense through the
oppositions goal posts, but it is harder to win because your opponent controls the scoring
boundaries).
Ultimately, I will evaluate offense/impacts through a normal
magnitude/probability/timeframe lens and will default to a Utilitarian calculus if nothing
else is provided, but will weigh through whatever VC wins. I strongly prefer weighable
impacts (Eg X number of people will be helped to Y degree), which creates clarity in judges
mind. I see a lot of debaters (especially in LD) not doing ð˜¾ð™¡ð™šð™–ð™§
weighing of their impacts vs opponents impacts in NR And 2NR, which is unhelpful and
creates judge intervention. I would strongly recommend spending at least some time in
each rebuttal evaluating your impacts as to why you are winning on
probability/magnitude/timeframe/vulnerability of populations affected/permanence of
your impacts. As with all debate, please crystallize in final speeches with concise
underviews that explain why you are winning and how your arguments
OW/eclipse/precede your opponent’s impacts.
several general thoughts on LD debates I’ve seen:
- on contention level debate, please warrant out your contentions and extend claims and
evidence in whole (claim, internal warrant, and impact), in particular in the rebuttals.
Greater specificity is better. I’ve noticed a lot of debaters merely extend the tag lines of
their evidence without the warrants/cards behind them and, more specifically, what the
evidence does in debate/how I should evaluate it relative to other positions. This is
problematic in that it leads to judge intervention and forces me to evaluate evidence after
round. In NR/2AR I would prefer that you tell me how to vote rather than ask me to
adjudicate between/weigh in on Impacts. A good rebuttal will not just include extensions
of evidence, but also point to what parts of the evidence (eg the historical example that the
author references, the statistical meta study that the cards author proffered) support your
claims and what impacts their ideas will lead to.
- evidence: I prefer evidence that has descriptive/historical/statistical claims rather than
predictive/speculative claims due to the fact that the former is based on things that have
already happened/is more scientific whereas the latter has not occurred/is based on
predilections that may or may not occur. I will prefer the former over the latter absent an
argument made to differentiate the two. Expert authors will be preferred to non-experts in
a vacuum. Non-contextualized anecdotal evidence is the least preferred type of evidence.
- AFF strategy: I notice a lot of debaters (in particular on the affirmative) have a difficult
time extending sufficient offense in the debate to stay in the running. I would strongly
recommend extending your arguments/contentions first (esp in the 1AR where there is a
timeskew) before moving on to opponents case. Inexperienced debaters tend to get
distracted/overwhelmed by their opponents case and attempt to tackle it first, but end up
running out of time to extend their own case after getting bogged down in said opponents
arguments. The best offense is a good offense - you can win if you extend your claims and
leave some of your opponents claims dropped, but you cannot win if you extend none of
your claims but shoot down the majority of your opponents arguments. I would strongly
recommend starting out with your case first in rebuttals and then moving to refute your
opponents case.
The Affirmative needs to be even more strategic/efficient in the 2AR. The 2AR needs to
focus down on one to two arguments they are winning and not attempt to cover the entire
flow. Past losing 2ARs I have seen have spread themselves too thin and never told me
where to vote. In order to ensure that you get your offense on the flow, I would
recommend a 20/30 second overview at the top of the 2AR explaining why/where you are
winning and where I should vote. This ensures you have a shot at winning even if you do
not get to all points you wish to discuss in this short 3 minute speech.
- Timeskew: By default, I will give the affirmative somewhat more room than negative to
make less well developed/consistently extended arguments due to the timeskew (The Neg
won 52.37% of ballots according to a meta analysis of 17 TOC debate tournaments in
2017-18). Beyond this, if the AFF argues that their arguments should have a lower burden
of proof bc of timeskew, I will give the AFF even more room to make blippy arguments.
Kritiks (General): Im a fan of Ks in LD. Unlike Policy arguments that have crept into LD
(Plans/CPs/DisAds), I believe that Ks belong in LD on the basis that they are grounded in
philosophy rather than practical politics.
Several observations/suggestions for Ks in LD:
- On the Link level, please make a clear link to something your opponent specifically does
in her/his case. I've noticed that a lot of Kritikal debaters rely on very generic links (e.g.
saying that the AFF proposes a policy, the policy involves Capitalism, and that Capitalism is
bad, therefore you should reject the AFF) rather than an indictment of some aspect of the
AFF's specific proposal (e.g. the AFF's plan proposes an increase in mandatory minimum
sentencing, this will lead to a higher prison population, prisons disproportionately affect
minority populations and are therefore structurally racist, mass incarceration is the
warrant, therefore you should reject the AFF because they lead to more structural racism).
The former example relies on generic appeal to a structure the AFF exists within/likely
would have to exist within in order to implement policy, the latter explicitly outlines what
specifically the AFF does to increase racism/violence. If and at all possible, please try to
articulate what the opponent explicitly does to warrant your K.
- On the Alt, I have noticed that many people who run Ks have a very vague (and at times
non sensical) Alternatives—in the past I have voted against Ks often because of their lack
of Alt solvency. If you plan on running a K, please make clear what the Alt does and how
the Alt can solve/lead to some substantive change better than AFF can. I have a very
difficult time voting for Alts when I don't know what they do. I would recommend making
specific empirical examples of movements that align with Alt’s views that have succeeded
in the past (eg if you’re running an Alt that wants to deconstruct settler colonialism, point
to historical examples of Native movements that dislodged colonialism or the effects of
colonialism—for example protests against the DACA pipeline in S Dakota, Native
Americans protests against Columbus Day + what meaningful and lasting policy/public
opinion changes these movements imbued). Its my personal belief that movements that
lead to most meaningful change not only indicts and identifies a policy/problem with the
status quo, but is also able to engage with the political sphere and implement some
meaningful change. I believe that a well-articulated K should be able to do the same.
- K Impact: If K Impact involves some degree of indictment of the AFF, please explain to me
what the AFF indictment does/leads to out of round beyond merely asserting that the AFF
leads to bad impacts - otherwise it is likely that I will default to voting AFF on basis that AFF
does/advocates for something imperfect but net positive. Even winning that the Aff leads
to bad things (eg that the AFFs deployment of military forces is imperialist/that AFFs
passing of a policy leads to more capitalism) may be insufficient to win when weighed
against the entirety of AC impacts — the K also needs to prove THAT they do something
beneficial as well (see previous paragraph).
- Type of K you run: You are of course welcome to run any K you feel is strategically
valuable in the moment. As a personal side note, I personally prefer hearing Ks that come
from obscure/not-commonly-run philosophers (e.g. Foucault, Deleuze, St. Thomas
Aquinas) rather than commonly-understood philosophies (e.g. Capitalism). I believe that
introducing non-traditional philosophers into debate adds substance, flavor, and
argumentative diversity to the debate sphere - Independent on whether they win, I will
reward debaters who run these arguments with additional speaker points for the above
mentioned reasons.
Race/Gender/Transphobic/Homophobic Kritikal indicts - I will consider indictments of an
opponent on the basis that they have done said something racist, gendered, -phobic in
their personal behavior. The indictment, however, needs to clearly documented (e.g. a
screen shotted Facebook post, a accusation with references to multiple witnesses who can
corroborate the incident) and the offending violation/action needs to fall into the category
of commonly understood violations of norms of basic decency surrounding race/gender
(eg a racist joke that would be called out at a dinner party, usage of the N word towards a
debater of color, calling a female debater the B-word, usage of the six letter
homophobic/anti-gay term that starts with F). Microaggressions will be considered, but will
have a much higher burden of proof to overcome because they are more difficult to
prove/document and have comparatively less negative impact. As well, these arguments
preferable should be accompanied by an articulation of what Impact of dropping a
debater will have (e.g. will it send a strong sanctioning signal to other debater generally to
not make the joke in question in the future(?), will it merely deter the accused debater
from another repeated violation(?)) outside of round. Without an articulation of
framework, I will default to a standard VC framework in LD and Policymaking Impact
calculus on basis of magnitude/probability/TF in CX - if you lose/fail to provide a non-
traditional framework, this does not mean that your race/gender arguments will not be
evaluated, but does mean you will have to explain how they work/function under a
CXmaking/VC framework and likely means you will face a comparatively uphill battle.
Speed Ks-please do not run them - I don’t believe they are worth considering and are a
waste of time. After having come across them 3-4 times this year, have not voted for a
speed K. Unless opponent is literally spreading so fast no they are unintelligible, I believe
that it is unwise to spend all our time and energy indicting each other for procedurals
when we could be debating about the substantive of the topic.
I am not a fan of Performance/poetry in LD, but will consider it if absolutely necessary.
Know that I have a high BoP to consider these types of args.
I generally have a very low bar to granting the AFF RVIs due to timeskew. I have granted
AFF RVIs about 70-80% of the time when the AFF has introduced this argument."
Anne,"I am a lay judge. I prefer clear, well-reasoned arguments. I prefer that debaters speak at a
regular pace to ensure that I hear all arguments. When I judge the round, I first look to
make sure each side responds to the opposing side's arguments. Then, I look to weighing
and comparing arguments. In terms of speaker points, I value persuasiveness, eye contact,
clarity, and civility toward opponents. I do not value off-time road-maps."
Shehzad,
Kyna,"David Shen paradigm:
I am an experienced judge in PF and LD.
Spread at your own risk. Whatever arguments that I can't catch will not be counted in the
round. Clarity is more important than quantity. Share your cases with me in advance so it's
easier for me to follow. I further prefer that cases are also shared with your competitor;
this makes for a better and cleaner debate round as we understand what's being argued.
Make sure link to framework. Signposting is important. Tell me why I should vote for your
ballot.
Respect one another and respect the rules; no grace period after time is up, keep track of
your own time.
K and theory are fine.
Truth over tech
I am certified by NFHS for the following: Adjudicating Speech and Debate, Culture
Competence, Protecting Students from Abuse"
Bhawna,"I do not prefer too much spreading so much so that the participant is having hard time
breathing. Please keep the talking speed such that I can follow and take some notes while
you are speaking."
Agapi,"aspathis@greatneck.k12.ny.us
I am a current English teacher and I teach public speaking skills. I have limited experience
with debate that goes back to my own high school experiences, but I have not judged or
attended tournaments in recent years. This is my first year actively judging since I have
taken over the Great Neck North Debate team.
Speak fast, but not so fast that you are completely unintelligible. I am still new to judging.
Make sure all of your points are warranted. There should be solid connections between
your points and you should establish a strong link to your stated impact. I do not want to
hear you just throwing random statistics to make your point sound good.
Use jargon or technical language if you actually understand what you are saying. Nothing is
worse than someone using technical words that they don’t actually understand.
I will be taking notes on the key arguments and whether I feel they are adequately
supported. I will keep track of how you counter each other's points.
I value argument over style, but that doesn’t mean that I don’t value style at all. Don’t push
yourself to speak so fast that you are constantly stumbling over words. However, if your
argument is strong I will still side with you despite some stumbles
When I am assessing a debate, the most important factor is how strong the team’s
argument is and how well they defend it.
Strong use of evidence and logical links between points and overall argument will sway me
Be confident, but be respectful.
I don’t mind in-round competitiveness; but if you are rude to the point of interference, it
will reflect on your speaker points
Absolutely no hateful language"
